name,make,model,build_date,odometer,body_type,fuel,transmission,seats,auctioneer,deadline,link_to_auction,link_to_condition_report,other_specs,unique_identifier,hours,state,redbook_code,redbook_average_wholesale,current_market_retail,auction_registration_link,vin,date_listed,name_of_auction
2015 Kia Sportage,Kia,Sportage,2015,95167,Wagon,Petrol,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2976199/2015-kia-sportage-si-premium-sl-my15?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2976199/2015-kia-sportage-si-premium-sl-my15?filterid=19551c425c,Si Premium Sl My15 Fwd   Whitebuild     Exp04/04/2025,2015KiaSportage95167,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2015 Kia Sportage,Kia,Sportage,2015,95167,Wagon,Petrol,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2976199/2015-kia-sportage-si-premium-sl-my15?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2976199/2015-kia-sportage-si-premium-sl-my15?filterid=19551c425c,Si Premium Sl My15 Fwd   Whitebuild     Exp04/04/2025,2015KiaSportage95167,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2019 Mercedes-Benz C-Class C220,Mercedes-Benz,C-Class C220,2019,108593,Sedan,Diesel,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2976216/2019-mercedes-benz-c-class-c220-d-w205?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2976216/2019-mercedes-benz-c-class-c220-d-w205?filterid=19551c425c,D W205 Rwd   Blackbuild     Exp22/09/2025,2019Mercedes-BenzC-Class C220108593,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2019 Mercedes-Benz C-Class C220,Mercedes-Benz,C-Class C220,2019,108593,Sedan,Diesel,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2976216/2019-mercedes-benz-c-class-c220-d-w205?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2976216/2019-mercedes-benz-c-class-c220-d-w205?filterid=19551c425c,D W205 Rwd   Blackbuild     Exp22/09/2025,2019Mercedes-BenzC-Class C220108593,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2015 Audi A3,Audi,A3,2015,107372,Hatchback,Hybrid,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2975948/2015-audi-a3-e-tron-8v-my15?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2975948/2015-audi-a3-e-tron-8v-my15?filterid=19551c425c,E-Tron 8V My15 Fwd   Silverbuild     Exp22/05/2025,2015AudiA3107372,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2015 Audi A3,Audi,A3,2015,107372,Hatchback,Hybrid,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2975948/2015-audi-a3-e-tron-8v-my15?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2975948/2015-audi-a3-e-tron-8v-my15?filterid=19551c425c,E-Tron 8V My15 Fwd   Silverbuild     Exp22/05/2025,2015AudiA3107372,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2014 Mercedes-Benz A-Class A200,Mercedes-Benz,A-Class A200,2014,109204,Hatchback,Petrol,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2978040/2014-mercedes-benz-a-class-a200-w176?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2978040/2014-mercedes-benz-a-class-a200-w176?filterid=19551c425c,W176 Fwd   Whitebuild2013     Exp07/03/2025,2014Mercedes-BenzA-Class A200109204,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2014 Mercedes-Benz A-Class A200,Mercedes-Benz,A-Class A200,2014,109204,Hatchback,Petrol,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2978040/2014-mercedes-benz-a-class-a200-w176?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2978040/2014-mercedes-benz-a-class-a200-w176?filterid=19551c425c,W176 Fwd   Whitebuild2013     Exp07/03/2025,2014Mercedes-BenzA-Class A200109204,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2016 Mercedes-Benz Gla-Class Gla180,Mercedes-Benz,Gla-Class Gla180,2016,195795,Wagon,Petrol,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2976219/2016-mercedes-benz-gla-class-gla180-x156?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2976219/2016-mercedes-benz-gla-class-gla180-x156?filterid=19551c425c,X156 Fwd   Greybuild2015     Exp27/01/2025,2016Mercedes-BenzGla-Class Gla180195795,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2016 Mercedes-Benz Gla-Class Gla180,Mercedes-Benz,Gla-Class Gla180,2016,195795,Wagon,Petrol,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2976219/2016-mercedes-benz-gla-class-gla180-x156?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2976219/2016-mercedes-benz-gla-class-gla180-x156?filterid=19551c425c,X156 Fwd   Greybuild2015     Exp27/01/2025,2016Mercedes-BenzGla-Class Gla180195795,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
